action,guest,id,subject,system,time
swiped in,True,112096914512,Alejandra HAKIM,swipe system,2019-01-01 13:40:18.771007
swiped in,True,112068354736,Jeana MANNELLO,swipe system,2019-01-01 14:07:23.671750
swiped in,True,112097786736,Mariyah DELMORE,swipe system,2019-01-01 14:39:07.873168
swiped in,True,112084155808,Fae VIVION,swipe system,2019-01-01 14:49:05.098175
swiped in,True,112094511288,Kelsi CALAGUAS,swipe system,2019-01-01 15:23:30.326163
swiped in,True,112081623024,Drury ASARO,swipe system,2019-01-01 16:03:38.998500
swiped in,True,112084399832,Rosemarie ESDALE,swipe system,2019-01-01 16:06:28.737847
swiped in,True,112094512520,Melany HERRENBRUCK,swipe system,2019-01-01 16:20:42.026561
swiped in,False,4462772912,Cecily HULLA,swipe system,2019-01-01 16:49:56.593017
swiped in,True,112094921560,Ara EILERTSEN,swipe system,2019-01-01 17:19:14.888438
swiped in,True,112069631280,Esker FALTER,swipe system,2019-01-01 18:16:26.903637
swiped in,True,112093211840,Opha KNATT,swipe system,2019-01-01 18:18:23.662301
swiped in,True,112093336800,Stefanie GRILLO,swipe system,2019-01-01 18:23:17.339878
swiped in,True,112093336240,Princess ACAYAN,swipe system,2019-01-01 18:53:14.095032
swiped in,True,112093585024,Annabel OCHAMPAUGH,swipe system,2019-01-01 19:20:33.796353
swiped in,True,112070052440,Rakeem MARZAN,swipe system,2019-01-01 19:57:19.625920
swiped in,True,112069513288,Venie MOTTELER,swipe system,2019-01-01 20:32:19.351356
swiped in,True,112093402112,Mintie VIDOR,swipe system,2019-01-01 20:53:57.839421
swiped in,False,4462772912,Cecily HULLA,swipe system,2019-01-02 06:08:03.764282
swiped in,False,112073212200,Odis WOLOWSKI,swipe system,2019-01-02 06:25:34.283306
swiped in,False,112094312152,Zina AZEREDO,swipe system,2019-01-02 06:39:26.892900
swiped in,False,112094100000,Andres RASNER,swipe system,2019-01-02 06:40:09.452051
swiped in,False,112073010312,Mell JURASIN,swipe system,2019-01-02 06:44:59.965816
swiped in,False,112073010872,Chase VERDICK,swipe system,2019-01-02 06:53:47.652239
swiped in,False,4462713600,Manford BROUILLARD,swipe system,2019-01-02 07:06:52.270044
swiped in,False,112094313776,Devin DIXIT,swipe system,2019-01-02 07:12:51.490914
swiped in,False,112094313160,Erasmo BOSMANS,swipe system,2019-01-02 07:15:58.664337
swiped in,False,112097534248,Ura VILCHECK,swipe system,2019-01-02 07:25:15.135905
swiped in,False,112097852720,Janna WAMBLES,swipe system,2019-01-02 07:28:19.390211
swiped in,False,112094314168,Kirsten DILIBERTO,swipe system,2019-01-02 07:28:30.645468
swiped in,True,112070938352,Candis MENKO,swipe system,2019-01-02 07:38:41.659058
swiped in,False,112094782968,Kaia ENICK,swipe system,2019-01-02 07:45:47.281913
swiped in,False,112097853112,Owen KOMADINA,swipe system,2019-01-02 07:45:46.094031
swiped in,True,112070935216,Miah MATEJEK,swipe system,2019-01-02 07:47:42.193116
swiped in,False,112096063048,Maye LATA,swipe system,2019-01-02 07:47:51.051166
swiped in,False,112096140032,Triston KUPIEC,swipe system,2019-01-02 07:48:51.956510
swiped in,False,112097921232,Kia TRAPPIER,swipe system,2019-01-02 07:52:44.157629
swiped in,False,112094168288,Beadie PENALBER,swipe system,2019-01-02 08:03:18.961439
swiped in,False,112097472296,Yareli BRAUNING,swipe system,2019-01-02 08:06:30.431883
swiped in,False,112097603656,Worley DAMBERG,swipe system,2019-01-02 08:09:14.632060
swiped in,False,112094313384,Chaney PAVON,swipe system,2019-01-02 08:09:45.210666
swiped in,False,112094101008,Brycen SHESTAK,swipe system,2019-01-02 08:10:44.677778
swiped in,False,112097921344,Kole ERHART,swipe system,2019-01-02 08:14:11.792928
swiped in,True,112070469056,Deron TORVIK,swipe system,2019-01-02 08:15:49.063369
swiped in,False,112094314280,Tamika SLOTT,swipe system,2019-01-02 08:19:19.841345
swiped in,False,112096062432,Tomeka MCQUAIG,swipe system,2019-01-02 08:20:29.477779
swiped in,False,112097604216,Leaner MEAR,swipe system,2019-01-02 08:21:22.762749
swiped in,False,112096194744,Lydell TAKAHARA,swipe system,2019-01-02 08:22:09.599722
swiped in,False,112096592112,Katerina BURDESHAW,swipe system,2019-01-02 08:22:10.618145
swiped in,False,112076984048,Cleveland MARTINAK,swipe system,2019-01-02 08:22:24.904048
swiped in,True,112070884992,Eugenio YOKELEY,swipe system,2019-01-02 08:27:18.542975
swiped in,False,112094311760,Lavina DEMOYA,swipe system,2019-01-02 08:28:07.879298
swiped in,False,112069195424,Camille LIVI,swipe system,2019-01-02 08:28:07.701813
swiped in,False,112083405400,Kelton KRECKMAN,swipe system,2019-01-02 08:32:54.402033
swiped in,False,112096062656,Ebert BOISSY,swipe system,2019-01-02 08:35:51.899502
swiped in,False,112097534248,Ura VILCHECK,swipe system,2019-01-02 08:38:30.867447
swiped in,False,112094514144,Solomon JOHANNESEN,swipe system,2019-01-02 08:40:23.364761
swiped in,False,112096528704,Eura GREBEL,swipe system,2019-01-02 08:40:57.247625
swiped in,False,112096529152,Ryker POLACK,swipe system,2019-01-02 08:41:52.335896
swiped in,False,112096528592,Zillah AMADOR,swipe system,2019-01-02 08:43:12.959294
swiped in,False,112077046000,Brain WARAICH,swipe system,2019-01-02 08:43:33.784964
swiped in,False,112094514312,Chasity SHUTAK,swipe system,2019-01-02 08:46:36.643243
swiped in,False,112096139584,Lulla KIETZMAN,swipe system,2019-01-02 08:48:05.818757
swiped in,False,112094856304,Willene ARNELL,swipe system,2019-01-02 08:47:31.206997
swiped in,False,112094170024,Phoenix SORVARI,swipe system,2019-01-02 08:49:27.246233
swiped in,False,112094169856,Ethelyn OLIVERE,swipe system,2019-01-02 08:50:37.597651
swiped in,False,112096464120,Hakeem FALIN,swipe system,2019-01-02 08:51:35.191609
swiped in,False,112094242856,Miracle YAKSICH,swipe system,2019-01-02 08:54:54.480715
swiped in,False,112094098936,Corbett KRZYCKI,swipe system,2019-01-02 08:58:17.888805
swiped in,False,112096063048,Maye LATA,swipe system,2019-01-02 08:59:29.660511
swiped in,False,112096529600,Tyron LETA,swipe system,2019-01-02 09:00:44.754714
swiped in,False,112096526464,Savanna SHURTER,swipe system,2019-01-02 09:01:53.705422
swiped in,False,112098246328,Shawanda COGMAN,swipe system,2019-01-02 09:03:43.919937
swiped in,False,112097535984,Terell SUROWIEC,swipe system,2019-01-02 09:05:08.443661
swiped in,False,112069141392,Benjiman FLEITES,swipe system,2019-01-02 09:05:38.932241
swiped in,False,112097852048,Lish CANTATORE,swipe system,2019-01-02 09:06:00.733510
swiped in,False,112094244032,Hailey COZZOLINO,swipe system,2019-01-02 09:05:50.358902
swiped in,False,112096061424,Marlee HORNEDO,swipe system,2019-01-02 09:09:49.483412
swiped in,False,112076983152,Thaddeus STABLES,swipe system,2019-01-02 09:10:34.560539
swiped in,False,112069194192,Luciana CANTELLO,swipe system,2019-01-02 09:10:57.355102
swiped in,False,112096528480,Irven DARNES,swipe system,2019-01-02 09:11:14.073413
swiped in,False,112084324704,Algie PIEKUT,swipe system,2019-01-02 09:11:43.999038
swiped in,False,112094312152,Zina AZEREDO,swipe system,2019-01-02 09:13:19.531015
swiped in,True,112095286216,Jeremie KINIKINI,swipe system,2019-01-02 09:15:01.355172
swiped in,False,112097920112,Nicolette GLASBRENNER,swipe system,2019-01-02 09:16:15.229984
swiped in,False,112096062768,Greta GOLDSTON,swipe system,2019-01-02 09:15:42.992445
swiped in,False,112097853112,Owen KOMADINA,swipe system,2019-01-02 09:18:53.367790
swiped in,False,112096061256,Jere KASICA,swipe system,2019-01-02 09:18:24.043042
swiped in,False,112069142064,Hazel DEFORE,swipe system,2019-01-02 09:18:33.035632
swiped in,False,112094244144,Conner HEISSE,swipe system,2019-01-02 09:20:37.139865
swiped in,False,112069078768,Sherman MCCELLAND,swipe system,2019-01-02 09:21:18.553260
swiped in,False,112094169128,Maureen DEAGLE,swipe system,2019-01-02 09:21:15.642840
swiped in,False,112094783696,Tyson SHARA,swipe system,2019-01-02 09:22:18.047255
swiped in,False,112094858600,Leonor KLOMP,swipe system,2019-01-02 09:22:28.110286
swiped in,False,112084325432,Rose IRELAN,swipe system,2019-01-02 09:23:10.155964
swiped in,False,112096062096,Katelynn MIKOLICH,swipe system,2019-01-02 09:23:37.813851
swiped in,False,112096528144,Grecia STIFEL,swipe system,2019-01-02 09:24:29.091989
swiped in,False,112094167952,Hugh ALLS,swipe system,2019-01-02 09:24:45.547290
swiped in,False,112097603656,Worley DAMBERG,swipe system,2019-01-02 09:24:43.498731
swiped in,False,112094097480,Edie BESHIRS,swipe system,2019-01-02 09:25:42.172610
swiped in,False,112094167280,Margarete DUSHANE,swipe system,2019-01-02 09:26:44.690196
swiped in,False,112083406744,Lavelle FEATHERS,swipe system,2019-01-02 09:26:56.667177
swiped in,False,112094579792,Cheri ALEKNA,swipe system,2019-01-02 09:27:01.319839
swiped in,False,112094241736,Chalmers LUKAS,swipe system,2019-01-02 09:28:04.998464
swiped in,False,112069078992,John RIBLET,swipe system,2019-01-02 09:27:54.834830
swiped in,False,112069197664,Burr LEHECKA,swipe system,2019-01-02 09:28:44.677859
swiped in,False,112094857312,Crawford TRUCKE,swipe system,2019-01-02 09:29:01.683544
swiped in,False,112094579120,Idabelle HOCHHEISER,swipe system,2019-01-02 09:34:03.749442
swiped in,False,112071119424,Ardelle WONDERS,swipe system,2019-01-02 09:34:18.041155
swiped in,False,112094098040,Lia PANN,swipe system,2019-01-02 09:34:39.456143
swiped in,False,112094783360,Bernard HOANG,swipe system,2019-01-02 09:35:32.980691
swiped in,False,112084326832,Dereck YOCHIM,swipe system,2019-01-02 09:36:32.271006
swiped in,False,112084326720,Vergie ROTHMANN,swipe system,2019-01-02 09:36:52.371881
swiped in,False,112069076528,Judy MAUN,swipe system,2019-01-02 09:38:49.058467
swiped in,False,112098246496,Rigoberto RAEBER,swipe system,2019-01-02 09:39:57.881050
swiped in,False,112094098600,Bryce SARDO,swipe system,2019-01-02 09:40:45.154786
swiped in,False,112094099272,Arietta LESHANE,swipe system,2019-01-02 09:42:07.786593
swiped in,False,112096593064,Keon ESTRADO,swipe system,2019-01-02 09:42:28.078711
swiped in,False,112083466952,Beadie SOMICH,swipe system,2019-01-02 09:42:34.808577
swiped in,False,112094240840,Franklyn GONZALEZPEREZ,swipe system,2019-01-02 09:43:02.128151
swiped in,False,4462834016,Nealie VILLALUNA,swipe system,2019-01-02 09:43:18.222341
swiped in,False,112084327560,Kennth DORFLER,swipe system,2019-01-02 09:44:19.778452
swiped in,False,112094785376,Crissy CHEPLICK,swipe system,2019-01-02 09:44:37.647143
swiped in,False,112083466840,Theodosia SZOPINSKI,swipe system,2019-01-02 09:46:02.322957
swiped in,False,112083406072,Sharron SCHROM,swipe system,2019-01-02 09:46:28.298018
swiped in,False,112094242744,Randal PETLEY,swipe system,2019-01-02 09:47:58.575424
swiped in,False,112076983376,Halley LONGARDNER,swipe system,2019-01-02 09:47:42.354203
swiped in,False,112094578784,Ama ROUBIQUE,swipe system,2019-01-02 09:47:37.168559
swiped in,False,112094243248,Felecia BERNSHAUSEN,swipe system,2019-01-02 09:49:14.373761
swiped in,False,112094243360,Star CHASON,swipe system,2019-01-02 09:49:02.114055
swiped in,False,112094311424,Sanjuana SOGHOMONIAN,swipe system,2019-01-02 09:49:53.624120
swiped in,True,112088885008,Rex HOLLFELDER,swipe system,2019-01-02 09:49:47.169709
swiped in,False,112094243472,Valentino CUZZONE,swipe system,2019-01-02 09:50:19.933781
swiped in,False,112096138464,Maxwell TIBBETTS,swipe system,2019-01-02 09:53:14.512848
swiped in,False,112094578560,Gilman GARVIE,swipe system,2019-01-02 09:54:24.188299
swiped in,False,112069076752,Dandre CHILDERS,swipe system,2019-01-02 09:54:44.646494
swiped in,False,112076982928,Onie GHADIMI,swipe system,2019-01-02 09:56:34.397335
swiped in,False,112083464376,Parrish JANOWICZ,swipe system,2019-01-02 09:57:15.490872
swiped in,True,112098058872,Beverly HAZELTINE,swipe system,2019-01-02 10:03:13.250540
swiped in,False,112083467064,Shalonda SZELES,swipe system,2019-01-02 10:03:41.555545
swiped in,False,112094579344,Julian BROOMS,swipe system,2019-01-02 10:04:51.530197
swiped in,False,112069196992,Cherelle HENZIE,swipe system,2019-01-02 10:04:36.563367
swiped in,False,112094384312,Janice STEENSEN,swipe system,2019-01-02 10:04:32.308745
swiped in,False,112071122784,Falon DUELLO,swipe system,2019-01-02 10:07:22.795171
swiped in,False,112094170472,Osborn STEINBACHER,swipe system,2019-01-02 10:09:32.505157
swiped in,False,112096139360,Ciji WARTHAN,swipe system,2019-01-02 10:11:00.091268
swiped in,False,112097472296,Yareli BRAUNING,swipe system,2019-01-02 10:12:01.607169
swiped in,True,112084053856,Red PURTA,swipe system,2019-01-02 10:18:54.406603
swiped in,False,112094243808,Americo DEARMAN,swipe system,2019-01-02 10:19:39.479509
swiped in,True,112076798552,Rafe TEPPER,swipe system,2019-01-02 10:19:25.498698
swiped in,True,112088429680,Atha ARKENBERG,swipe system,2019-01-02 10:21:11.716624
swiped in,False,112094168288,Beadie PENALBER,swipe system,2019-01-02 10:29:36.661617
swiped in,True,112075828192,Virgia STEPHSON,swipe system,2019-01-02 10:30:46.136461
swiped in,False,112096062768,Greta GOLDSTON,swipe system,2019-01-02 10:49:54.097023
swiped in,False,112096592560,Samara TAMANG,swipe system,2019-01-02 10:58:51.814098
swiped in,True,112066956536,Doyle BOGENHAGEN,swipe system,2019-01-02 11:09:35.659796
swiped in,True,112085261616,Frances DEMICCO,swipe system,2019-01-02 11:18:57.273011
swiped in,False,112096594296,Elta CABANAYAN,swipe system,2019-01-02 11:19:11.164860
swiped in,False,112096138464,Maxwell TIBBETTS,swipe system,2019-01-02 11:20:47.096078
swiped in,False,112094167280,Margarete DUSHANE,swipe system,2019-01-02 11:29:51.146389
swiped in,True,112069337832,Acie GUMMER,swipe system,2019-01-02 11:31:53.506456
swiped in,False,112096528480,Irven DARNES,swipe system,2019-01-02 11:38:34.695866
swiped in,False,112096063048,Maye LATA,swipe system,2019-01-02 11:48:54.308602
swiped in,False,112097920112,Nicolette GLASBRENNER,swipe system,2019-01-02 11:51:44.442730
swiped in,False,112094098600,Bryce SARDO,swipe system,2019-01-02 11:54:13.243695
swiped in,False,112096061256,Jere KASICA,swipe system,2019-01-02 11:55:57.068325
swiped in,False,112096592112,Katerina BURDESHAW,swipe system,2019-01-02 11:55:26.802893
swiped in,False,112097534248,Ura VILCHECK,swipe system,2019-01-02 11:55:46.083200
swiped in,False,112097921344,Kole ERHART,swipe system,2019-01-02 11:56:49.477977
swiped in,False,112094169128,Maureen DEAGLE,swipe system,2019-01-02 11:59:24.188369
swiped in,False,112096139360,Ciji WARTHAN,swipe system,2019-01-02 12:03:12.436105
swiped in,False,112069194192,Luciana CANTELLO,swipe system,2019-01-02 12:04:38.090718
swiped in,False,112094857312,Crawford TRUCKE,swipe system,2019-01-02 12:07:44.624125
swiped in,False,112094098040,Lia PANN,swipe system,2019-01-02 12:08:39.708455
swiped in,False,112096529600,Tyron LETA,swipe system,2019-01-02 12:13:51.493626
swiped in,False,112094579120,Idabelle HOCHHEISER,swipe system,2019-01-02 12:13:56.830353
swiped in,True,112094723600,Myla SZELAG,swipe system,2019-01-02 12:16:00.194033
swiped in,False,112076983376,Halley LONGARDNER,swipe system,2019-01-02 12:17:26.548299
swiped in,False,112094168288,Beadie PENALBER,swipe system,2019-01-02 12:17:40.341467
swiped in,False,112076984048,Cleveland MARTINAK,swipe system,2019-01-02 12:18:24.856558
swiped in,False,112094170024,Phoenix SORVARI,swipe system,2019-01-02 12:18:57.021382
swiped in,False,112076982928,Onie GHADIMI,swipe system,2019-01-02 12:19:39.740119
swiped in,True,112097412376,Bernetta MARSYLA,swipe system,2019-01-02 12:20:29.034530
swiped in,False,112097472296,Yareli BRAUNING,swipe system,2019-01-02 12:21:30.940673
swiped in,False,112069141392,Benjiman FLEITES,swipe system,2019-01-02 12:22:25.474257
swiped in,False,112098246328,Shawanda COGMAN,swipe system,2019-01-02 12:23:19.528073
swiped in,False,112094243360,Star CHASON,swipe system,2019-01-02 12:28:00.312553
swiped in,False,112094243248,Felecia BERNSHAUSEN,swipe system,2019-01-02 12:28:22.957450
swiped in,False,112069076752,Dandre CHILDERS,swipe system,2019-01-02 12:30:42.121030
swiped in,False,112096526464,Savanna SHURTER,swipe system,2019-01-02 12:32:04.602401
swiped in,False,112097852720,Janna WAMBLES,swipe system,2019-01-02 12:34:17.334595
swiped in,False,112069078992,John RIBLET,swipe system,2019-01-02 12:34:38.957152
swiped in,False,112096139584,Lulla KIETZMAN,swipe system,2019-01-02 12:34:45.256890
swiped in,False,112094514144,Solomon JOHANNESEN,swipe system,2019-01-02 12:36:09.099144
swiped in,False,112083406744,Lavelle FEATHERS,swipe system,2019-01-02 12:36:48.342604
swiped in,False,112094100000,Andres RASNER,swipe system,2019-01-02 12:38:22.707263
swiped in,True,112096850160,Marco ROGNESS,swipe system,2019-01-02 12:40:00.744887
swiped in,False,112069197664,Burr LEHECKA,swipe system,2019-01-02 12:41:49.133742
swiped in,False,112096140032,Triston KUPIEC,swipe system,2019-01-02 12:43:00.457365
swiped in,True,112067791168,Jameel PERLE,swipe system,2019-01-02 12:45:26.776456
swiped in,False,112094167280,Margarete DUSHANE,swipe system,2019-01-02 12:46:03.142022
swiped in,False,112094514312,Chasity SHUTAK,swipe system,2019-01-02 12:46:00.676771
swiped in,False,112097853112,Owen KOMADINA,swipe system,2019-01-02 12:46:31.156091
swiped in,False,112094579792,Cheri ALEKNA,swipe system,2019-01-02 12:47:12.037101
swiped in,False,112069076528,Judy MAUN,swipe system,2019-01-02 12:47:26.951540
swiped in,False,112067599440,Alys MCMURTREY,swipe system,2019-01-02 12:47:57.899293
swiped in,False,112084325432,Rose IRELAN,swipe system,2019-01-02 12:50:00.936423
swiped in,False,112094244144,Conner HEISSE,swipe system,2019-01-02 12:51:39.621321
swiped in,True,112067859624,Yoshio GOFMAN,swipe system,2019-01-02 12:52:01.708836
swiped in,True,112067916128,Darrius PHILPS,swipe system,2019-01-02 12:53:16.016100
swiped in,False,112083466840,Theodosia SZOPINSKI,swipe system,2019-01-02 12:55:08.161605
swiped in,False,112096061424,Marlee HORNEDO,swipe system,2019-01-02 13:00:03.587254
swiped in,False,112083464376,Parrish JANOWICZ,swipe system,2019-01-02 13:00:45.936280
swiped in,False,112094169856,Ethelyn OLIVERE,swipe system,2019-01-02 13:03:58.944599
swiped in,False,112094858600,Leonor KLOMP,swipe system,2019-01-02 13:06:45.162087
swiped in,True,112097988848,Ridge KAJY,swipe system,2019-01-02 13:09:53.281168
swiped in,False,112096138464,Maxwell TIBBETTS,swipe system,2019-01-02 13:11:20.075766
swiped in,False,112096062768,Greta GOLDSTON,swipe system,2019-01-02 13:12:03.948125
swiped in,False,112096593064,Keon ESTRADO,swipe system,2019-01-02 13:14:29.087231
swiped in,False,112069142064,Hazel DEFORE,swipe system,2019-01-02 13:14:53.230913
swiped in,False,112096194744,Lydell TAKAHARA,swipe system,2019-01-02 13:15:15.139819
swiped in,False,112076983376,Halley LONGARDNER,swipe system,2019-01-02 13:18:01.733733
swiped in,True,112098113912,Hilma OBIE,swipe system,2019-01-02 13:19:32.347182
swiped in,False,112094244032,Hailey COZZOLINO,swipe system,2019-01-02 13:20:22.846542
swiped in,False,112097535984,Terell SUROWIEC,swipe system,2019-01-02 13:21:14.654823
swiped in,False,112096592560,Samara TAMANG,swipe system,2019-01-02 13:23:09.079855
swiped in,False,112094241736,Chalmers LUKAS,swipe system,2019-01-02 13:22:37.508334
swiped in,True,112078301000,Fallon NORKETT,swipe system,2019-01-02 13:25:19.667414
swiped in,False,112069196992,Cherelle HENZIE,swipe system,2019-01-02 13:27:43.401976
swiped in,False,112098246496,Rigoberto RAEBER,swipe system,2019-01-02 13:27:24.688510
swiped in,False,112097921232,Kia TRAPPIER,swipe system,2019-01-02 13:28:49.850648
swiped in,False,112097852048,Lish CANTATORE,swipe system,2019-01-02 13:28:14.920462
swiped in,False,112076980800,Olen GARRETY,swipe system,2019-01-02 13:29:29.973708
swiped in,False,112094579120,Idabelle HOCHHEISER,swipe system,2019-01-02 13:34:53.613472
swiped in,True,112068296544,Rishi HANULA,swipe system,2019-01-02 13:36:09.054278
swiped in,False,112094578784,Ama ROUBIQUE,swipe system,2019-01-02 13:39:16.382302
swiped in,False,112083406072,Sharron SCHROM,swipe system,2019-01-02 13:39:56.967460
swiped in,False,112094243472,Valentino CUZZONE,swipe system,2019-01-02 13:43:45.330809
swiped in,False,112096063048,Maye LATA,swipe system,2019-01-02 13:45:35.480565
swiped in,False,112071122784,Falon DUELLO,swipe system,2019-01-02 13:49:48.286286
swiped in,True,112084052736,Burnett GODIN,swipe system,2019-01-02 13:51:39.132738
swiped in,False,112094097480,Edie BESHIRS,swipe system,2019-01-02 13:52:13.999634
swiped in,False,112096464120,Hakeem FALIN,swipe system,2019-01-02 13:55:53.705796
swiped in,False,112084326832,Dereck YOCHIM,swipe system,2019-01-02 13:57:53.926247
swiped in,False,112076922720,Lizeth KAPLOW,swipe system,2019-01-02 14:04:56.071365
swiped in,False,112097603656,Worley DAMBERG,swipe system,2019-01-02 14:11:51.428364
swiped in,False,112094858600,Leonor KLOMP,swipe system,2019-01-02 14:20:19.758980
swiped in,False,112097853112,Owen KOMADINA,swipe system,2019-01-02 14:53:21.670394
swiped in,True,112096656912,Garold ALMOS,swipe system,2019-01-02 14:57:39.905766
swiped in,False,112096528480,Irven DARNES,swipe system,2019-01-02 15:01:58.687734
swiped in,False,112096062096,Katelynn MIKOLICH,swipe system,2019-01-02 15:02:10.009524
swiped in,True,112082622560,Marilynn CONNETT,swipe system,2019-01-02 15:11:42.801493
swiped in,False,112076922048,Author SCHMEISER,swipe system,2019-01-02 15:13:49.931220
swiped in,False,112084327560,Kennth DORFLER,swipe system,2019-01-02 15:16:19.452971
swiped in,True,112096979488,Suzanna GARDNER,swipe system,2019-01-02 15:18:10.877396
swiped in,False,112097921344,Kole ERHART,swipe system,2019-01-02 15:22:03.089933
swiped in,False,112094168288,Beadie PENALBER,swipe system,2019-01-02 15:38:10.355980
swiped in,True,112094722368,Ansel MARCELLI,swipe system,2019-01-02 15:38:19.450054
swiped in,False,112083467064,Shalonda SZELES,swipe system,2019-01-02 15:43:46.237479
swiped in,False,112097921232,Kia TRAPPIER,swipe system,2019-01-02 15:52:26.659763
swiped in,False,112094782968,Kaia ENICK,swipe system,2019-01-02 15:52:27.023952
swiped in,False,112094098936,Corbett KRZYCKI,swipe system,2019-01-02 15:56:52.094997
swiped in,False,112097535984,Terell SUROWIEC,swipe system,2019-01-02 15:57:54.194149
swiped in,True,112094723824,Mindi CARCIERI,swipe system,2019-01-02 16:03:34.011480
swiped in,False,112097852720,Janna WAMBLES,swipe system,2019-01-02 16:15:56.036396
swiped in,False,112094244144,Conner HEISSE,swipe system,2019-01-02 16:21:34.980216
swiped in,True,112079206552,Golda VONENDE,swipe system,2019-01-02 16:28:19.363741
swiped in,False,112094243248,Felecia BERNSHAUSEN,swipe system,2019-01-02 16:42:43.974406
swiped in,False,112069194192,Luciana CANTELLO,swipe system,2019-01-02 16:44:01.114572
swiped in,False,112094098600,Bryce SARDO,swipe system,2019-01-02 16:47:12.561401
swiped in,False,112094167280,Margarete DUSHANE,swipe system,2019-01-02 17:05:26.532568
swiped in,False,112096140032,Triston KUPIEC,swipe system,2019-01-02 17:06:01.151341
swiped in,True,112093899688,Paige LOSCHEN,swipe system,2019-01-02 17:14:14.527080
swiped in,False,112084327560,Kennth DORFLER,swipe system,2019-01-02 17:26:54.798524
swiped in,False,112096062432,Tomeka MCQUAIG,swipe system,2019-01-02 17:29:53.303029
swiped in,False,112096062768,Greta GOLDSTON,swipe system,2019-01-02 17:37:53.534389
swiped in,False,112083466840,Theodosia SZOPINSKI,swipe system,2019-01-02 18:04:29.213881
swiped in,True,112069564680,Meagan LIMBECK,swipe system,2019-01-02 18:08:32.397624
swiped in,False,112083466952,Beadie SOMICH,swipe system,2019-01-02 18:25:22.423549
swiped in,False,112097603656,Worley DAMBERG,swipe system,2019-01-02 18:27:28.789198
swiped in,False,112097472296,Yareli BRAUNING,swipe system,2019-01-02 18:30:42.261115
swiped in,True,112069811560,Flora CAMMOCK,swipe system,2019-01-02 19:01:38.411674
swiped in,True,112069563336,Luanne POPPENGA,swipe system,2019-01-02 19:51:37.105877
swiped in,True,112093899016,Kade CALBERT,swipe system,2019-01-02 20:10:06.016669
swiped in,True,112069758536,Samira HYMEN,swipe system,2019-01-02 20:14:38.957594
swiped in,False,112083466952,Beadie SOMICH,swipe system,2019-01-02 20:16:32.096749
swiped in,True,112070052440,Rakeem MARZAN,swipe system,2019-01-02 21:01:39.599564
swiped in,False,112094312152,Zina AZEREDO,swipe system,2019-01-03 06:11:08.268448
swiped in,False,112094313160,Erasmo BOSMANS,swipe system,2019-01-03 07:09:27.737844
swiped in,False,112094313776,Devin DIXIT,swipe system,2019-01-03 07:20:37.988431
swiped in,False,112096528592,Zillah AMADOR,swipe system,2019-01-03 07:26:33.719383
